,MSRP,PASSCAPACITY,DOORS,WHEELBASE,WIDTH,HEIGHT,FUELCAPACITY,CITYMPG,HWYMPG,TORQUE,HORSEPOWER,DISPLACEMENT,AIRBAGFRONTDRIVER,AIRBAGFRONTPASS,AIRBAGSWITCH,AIRBAGSIDEBODYFRONT,AIRBAGSIDEBODYREAR,AIRBAGSIDEHEADFRONT,AIRBAGSIDEHEADREAR,ABS,CHILDSAFETYLOCK,DAYTIMERUNLIGHTS,TRACCONTROL,NIGHTVISION,ROLLOVERBARS,FOGLAMPS,PARKINGAID,TPS,BACKUPCAM,STABCONTROL,MANUAL,AUTOMATIC,DRIVETRAIN_4wd,DRIVETRAIN_awd,DRIVETRAIN_fwd,DRIVETRAIN_rwd,BODYSTYLE_4drcar,BODYSTYLE_convertible,BODYSTYLE_crewcabpickuplongbed,BODYSTYLE_crewcabpickupshortbed,BODYSTYLE_crewcabpickupstandardbed,BODYSTYLE_extendedcabpickuplongbed,BODYSTYLE_extendedcabpickupshortbed,BODYSTYLE_extendedcabpickupstandardbed,BODYSTYLE_fullsizepassengervan,BODYSTYLE_hatchback,BODYSTYLE_minivanpassenger,BODYSTYLE_regularcabpickuplongbed,BODYSTYLE_regularcabpickupshortbed,BODYSTYLE_regularcabpickupstandardbed,BODYSTYLE_sportutility,BODYSTYLE_stationwagon,NUMCYLINDERS_4,NUMCYLINDERS_5,NUMCYLINDERS_6,NUMCYLINDERS_8,NUMCYLINDERS_10,NUMCYLINDERS_12,NUMGEARS_3,NUMGEARS_4,NUMGEARS_5,NUMGEARS_6,NUMGEARS_7,NUMGEARS_8
36,35720,5,4,105.7,73.7,66.1,16,19,27,251,273,3.5212,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
37,38020,5,4,105.7,73.7,66.1,16,20,28,251,273,3.5212,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
38,34320,5,4,105.7,73.7,66.1,16,20,28,251,273,3.5212,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
39,39420,5,4,105.7,73.7,66.1,16,19,27,251,273,3.5212,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
40,34895,5,4,104.3,73.6,65.2,18,17,22,260,240,2.3,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
41,35995,5,4,104.3,73.6,65.2,18,19,24,260,240,2.3,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
42,32895,5,4,104.3,73.6,65.2,18,19,24,260,240,2.3,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
43,37995,5,4,104.3,73.6,65.2,18,17,22,260,240,2.3,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
44,34895,5,4,104.3,73.6,65.1,18,17,22,260,240,2.3,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
45,35995,5,4,104.3,73.6,65.1,18,19,24,260,240,2.3,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
